ITY,DISTANCE
Albany NY,1020
Atlanta GA,242
Billings MT,1650
Boise ID,1944
Buffalo NY,716
Charleston WV,391
Cheyenne WY,1210
Cleveland OH,530
Columbus OH,389
Denver CO,1175
Detroit MI,535
Fargo ND,1129
Hartford CT,1006
Indianapolis IN,289
Jacksonville FL,588
Las Vegas NV,1804
Los Angeles CA,2022
Memphis TN,211
Milwaukee WI,571
New Orleans LA,527
Norfolk VA,78
Omaha NE,760
Philadelphia PA,822
Pittsburgh PA,568
Portland OR,2364
Reno NV,2166
Salt Lake City UT,1643
San Diego CA,2040
Seattle WA,2435
Wichita KS,760
Albuquerque NM,1223
Baltimore MD,704
Birmingham AL,189
Boston MA,1106
Charleston SC,548
Charlotte NC,407
Chicago IL,472
Columbia SC,439
Dallas TX,663
Des Moines IA,721
EL Paso TX,1296
Grand Junction CO,1420
Houston TX,782
Jackson MS,417
Kansas City MO,570
Little Rock AR,348
Louisville KY,175
Miami FL,903
Minneapolis MN,892
New York NY,902
Oklahoma City OK,679
Orlando FL,682
Phoenix AZ,1686
Portland ME,1235
Rapid City SD,1281
St. Louis MO,316
San Antonio TX,940
San Francisco CA,2350
Washington DC,664
