City,Distance
Albany NY,2953
Atlanta GA,2503
Billings MT,1179
Boise ID,648
Buffalo NY,2664
Charleston WV,2586
Cheyenne WY,1181
Cleveland OH,2475
Columbus OH,2473
Denver CO,1276
Detroit MI,2411
Fargo ND,1788
Hartford CT,3036
Indianapolis IN,2298
Jacksonville FL,2742
Las Vegas NV,569
Los Angeles CA,381
Memphis TN,2111
Milwaukee WI,2187
Nashville TN,2320
New York NY,2944
Oklahoma City OK,1641
Orlando FL,2836
Phoenix AZ,725
Portland ME,3220
Rapid City SD,1391
St. Louis MO,2073
San Antonio TX,1746
Seattle WA,810
Wichita KS,1785
Albuquerque NM,1097
Baltimore MD,2837
Birmingham AL,2356
Boston MA,3119
Charleston SC,2824
Charlotte NC,2726
Chicago IL,2148
Columbia SC,2716
Dallas TX,1741
Des Moines IA,1813
EL Paso TX,1188
Grand Junction CO,1027
Houston TX,1941
Jackson MS,2149
Kansas City MO,1818
Little Rock AR,1980
Louisville KY,2335
Miami FL,3057
Minneapolis MN,2058
New Orleans LA,2267
Norfolk VA,2996
Omaha NE,1679
Philadelphia PA,2894
Pittsburgh PA,2593
Portland OR,636
Reno NV,224
Salt Lake City UT,746
San Diego CA,505
Washington DC,2838
